fen_string,solution_moves,difficulty_elo,tag_id
3r2k1/q3b1pp/p3p3/2n5/5P2/PPR2RKP/1BQ5/8 w - - 0 37,b3b4 c5e4 g3g2 d8d2 c2d2 e4d2,1923,17
2kr3r/2pq2pp/2nb1p2/1B1p1n2/P2P4/2P2PB1/1P2QP1P/R4RK1 b - - 0 18,d6g3 b5a6 c8b8 e2b5 b8a7 b5b7,959,35
r3k2r/1p2qp2/p3b2p/3pP1N1/P1pP4/1nP3P1/3QBPP1/1R2K2R w Kkq - 1 21,d2f4 h6g5 h1h8 e8d7 h8a8 g5f4,1825,2
r3kb1r/pbp1p1pp/1pn2n2/3q1p2/2QP4/5NP1/PP2PPBP/RNB2RK1 w kq - 1 9,f3e5 d5g2 g1g2 c6e5 g2g1 e5c4,1977,17
1k1r3r/1pp1qpp1/p2P1n2/2b1p1p1/4B3/1Q5P/PP3PP1/R3R1K1 b - - 0 18,e7d6 b3b7,862,37
r4rk1/p4pbp/1p2p1p1/8/2PP4/q4P2/3B1P1P/1R1QR1K1 b - - 0 18,g7d4 d2b4 a3b4 b1b4,1594,2
3r2k1/6pp/p2R2r1/1p3pNn/3P4/P6P/1P3PP1/2R3K1 b - - 0 25,d8d6 c1c8 d6d8 c8d8,818,25
3R3k/pp4pp/1b2rp2/8/8/1P6/P4PPP/3R2K1 b - - 1 27,b6d8 d1d8 e6e8 d8e8,400,7
2rq3r/2Nknppp/1p2p1b1/pP1pPnB1/3P4/P4N2/2Q1BPPP/2R1K2R b K - 2 21,c8c7 c2c7 d8c7 c1c7,952,2
1r1k1r2/2p2qp1/1pQp3p/p2P4/4R1BP/8/PPP3p1/2K1R3 w - - 0 32,e4e7 f7e7 e1e7 g2g1q,1940,1
8/B7/p1p5/2p1k2p/3p1p2/1P2b2P/P1P1K1P1/8 w - - 0 37,a7c5 d4d3 e2d3 e3c5,1593,9
8/3k4/1K5p/1P4pP/8/8/8/8 b - - 4 55,d7c8 b6a7 g5g4 b5b6 g4g3 b6b7,1616,1
8/p4p1k/b4qpp/p7/4Q3/P3P2P/1r3PP1/2R1R1K1 w - - 0 24,f2f4 a6b7 e4b7 b2b7,1667,2
r1b1k1nr/ppp2ppp/8/2bPp3/3n3q/2N2P2/PPP2BPP/R2QKBNR b KQkq - 2 7,d4f3 d1f3 c5f2 f3f2 h4f2 e1f2,1589,2
r4R1k/p3q1pp/1p6/3pB3/3Pb3/2P3Q1/P5PP/5RK1 b - - 0 27,a8f8 g3g7 e7g7 f1f8,1886,25
r4rk1/2q1bp2/3p1n1p/Pbp1p1p1/2N1P1P1/2PPBN1P/2Q2P2/R3K2R w KQ - 1 22,c4b6 c7b6 a5b6 a8a1 e3c1 b5d3 c2d3 a1c1,1922,2
k3r3/p1p4p/1rp1p1p1/2NnP1P1/R2PB2P/1P6/5K2/8 b - - 4 37,b6b4 e4d5 b4a4 d5c6,1817,17
rnb1k2r/pp3ppp/2P5/4p3/2Bq2n1/2NP4/PPP3PP/R1BQ2KR w kq - 1 11,g1f1 d4f2,1132,37
4r1k1/p2R1p1p/1p2n1p1/5p2/1PB5/5P2/P1P4P/7K b - - 2 28,e6f4 c4f7 g8f8 f7e8,710,2
8/R7/5P1k/P7/6pp/r7/4K3/8 w - - 0 54,a5a6 a3a2 e2e3 g4g3 a7a8 h6g6,2383,17
3rkr2/1q1pbpQ1/4P3/5P2/p7/1P1R4/2P5/1K1R4 b - - 0 33,d7e6 d3d8 e7d8 d1d8 e8d8 g7f8,1121,6
8/1p3k2/p2p1np1/3P4/1P2BP2/4K3/P7/8 w - - 4 38,e3f3 f6e4 f3e4 f7f6,1034,17
r2qk2r/1pp3pp/1pp3n1/5bNQ/3P4/4B2P/PP3P2/R4RK1 b kq - 4 18,e8g8 h5h7,534,34
1r4k1/q3bppp/b2p4/3Pp2n/2p1P2P/2B2N2/2BQ1PP1/R5K1 b - - 4 26,h5f4 f3e5 d6e5 c3e5 f4h3 g2h3,1452,2
4r3/1p6/p2P4/P7/2P5/1P5p/5kpK/6R1 b - - 0 54,e8e1 g1e1 f2e1 h2g1 h3h2 g1g2 h2h1q g2h1,1897,17
r3r3/p1p3kp/1p4p1/4Np2/2nP1q1P/2P1nN2/PP4P1/1KQ1R2R w - - 1 22,e5c4 f4e4 b1a1 e3c2 c1c2 e4c2,1534,2
3k4/6Q1/1p1q3p/pB6/3p4/4r1PP/6PK/8 b - - 1 41,d6e5 g7d7,968,25
8/p2k4/1p4R1/2p2Pp1/2P3P1/3p1PK1/PP6/7r w - - 0 38,g3g2 d3d2 g2h1 d2d1q,942,1
8/2k3p1/1p2p3/pP2P1pP/K1P3P1/8/8/8 w - - 3 49,c4c5 b6c5 a4a5 c7b7 h5h6 g7h6 b5b6 c5c4,2108,17
r2q1r1k/pp3ppp/2p1b3/4N3/3P1n2/7P/PPB2PP1/R2QR1K1 w - - 0 17,d1d2 d8g5 d2f4 g5f4,1737,17
r1bqkb1r/pp3p1p/2n2n2/2p1pP2/4P3/2P5/PP4BP/RNBQK1NR b KQkq - 0 9,f6e4 d1d8 e8d8 g2e4,1398,2
r1b2rk1/pp3pp1/2n1pqn1/b2p2Np/3P3P/P1NQ2B1/1PP1BPP1/2KR3R b - - 3 13,g6f4 d3h7,592,37
R2b3r/1p2kp1p/2q1bp2/1pp5/4Q3/2PBPN1P/1P3PP1/6K1 w - - 3 21,e4f4 d8c7 a8h8 c7f4,1398,2
2r1k2r/pp2pp1p/1q1p1b2/3b4/4P3/8/PPPQ1PPP/1K1R1B1R w k - 0 14,e4d5 b6b2,713,37
8/8/1R6/1P3p2/5kpp/7P/6PK/1r6 w - - 0 47,b6b8 g4g3,1005,25
r4rk1/ppq2ppp/4pn2/3p4/Pb3P2/2P1PB2/PB4PP/R2Q1RK1 b - - 0 15,b4c3 a1c1 c7b6 b2c3,1744,2
7R/5p2/4b2p/4P3/4K1Pk/7P/7b/8 b - - 6 48,h4h3 h8h6 h3g4 h6h2,1071,17
rn3r2/1bb2pkp/2pqp1p1/p3N3/Pp1PB3/1P2P3/1BQ2PPP/2R2RK1 w - - 1 19,e5c6 d6h2,771,34
r2nqr1k/1pp4p/p4b2/2NB2p1/1P1Pp3/P3Pp1P/1Q3P1P/2R2RK1 w - - 2 24,d5b7 d8b7 c5b7 e8c8 g1h1 c8b7,2213,2
2r5/4p2k/p3P1pp/2pPQp2/1p6/8/qP4PP/2KR3R w - - 0 28,h2h4 c5c4 c1d2 c4c3 d2e2 c3b2 d1d2 b2b1q h1b1 a2b1,2705,1
3R4/ppp2pp1/2p3k1/6N1/2P1r1b1/1P2b1Pp/PBq4P/4Q1RK b - - 8 23,e3g1 e1e4 c2e4 g5e4 g1e3 e4d2,1952,2
2R5/8/7P/p2k4/5K2/3b2P1/P1p2P2/8 w - - 1 47,g3g4 d3c4 f4g5 c2c1q,1447,1
r2q1rk1/pppbb1p1/3p3n/3Ppp1Q/8/3PPNPP/PP3PB1/R1B2RK1 w - - 0 15,e3e4 d7e8 h5h6 g7h6,1510,17
r3b1k1/pp2nNp1/3qp2p/3p3Q/3p4/3B4/PPP3PP/5R1K b - - 2 19,e8f7 h5f7 g8h8 f1f6 e7g8 f6e6 d6e6 f7e6,2356,17
r5k1/p2n2bp/Qq2p1p1/1PppP3/8/2B1P2P/3N2P1/R5K1 b - - 0 28,g7e5 a6b6 d7b6 c3e5,1637,2
r4rk1/ppnq1ppp/2pb4/5b2/3QpP2/PP2P1P1/1BP1N1BP/R4RK1 b - - 1 14,d6e7 d4g7,1051,34
6k1/4pp1p/6pB/8/b2R4/2P5/Pr4PP/6K1 b - - 1 24,b2a2 d4d8 a4e8 d8e8,400,25
1n5r/Q2nkppp/1p1bp3/1Bp1q3/1P2N3/P7/2PB1PPP/R1K1R3 w - - 3 18,e4d6 e5a1,1136,30
8/2qkb1rr/p2p4/np2p2p/4P1n1/4NP1Q/PP4PP/RNB1R1K1 w - - 1 24,f3g4 h5g4 h3h7 g7h7,1072,2
5Rrk/ppp1q2p/2nb3Q/3p4/3P4/2PB4/P1P3PP/5RK1 b - - 6 22,g8f8 f1f8 e7f8 h6h7,1401,34
2b5/8/3p1Pk1/2p1p1P1/2P1P2K/2Pq4/6Q1/8 b - - 4 42,d3c4 g2f3 g6f7 f3h5 f7f8 h5h6,2371,2
8/3P1k2/8/4R1p1/1K2Pp2/8/8/3r4 w - - 1 56,e5d5 d1d5 e4d5 f7e7 d7d8q e7d8,1486,17
3r2k1/pb3ppp/1pnq4/2ppr3/8/2P1QB2/PPNN2PP/4RR1K w - - 0 20,e3f4 e5e1 f4d6 e1f1 d2f1 d8d6,1397,17
6k1/p4pp1/P1p4p/3n4/8/1PrB3P/2P2KP1/4R3 b - - 5 29,d5b4 e1e8,653,25
r6k/p5p1/1p1q1r1p/3P1p2/7R/P4P2/1B1Q1KP1/8 b - - 0 30,f6f7 h4h6 d6h6 d2h6,1326,17
5k2/p5pp/P2P1p2/3Q4/1r4b1/5N2/1r2qPPP/R2R2K1 w - - 5 30,d6d7 e2f2 g1h1 f2g2,1221,37
5rk1/pp2Rrpp/2p5/5p2/2Q5/1PP4P/1Pq2PP1/R5K1 w - - 5 23,a1a7 c2d1 g1h2 d1d6 f2f4 d6e7,1728,2
3b2r1/6rk/p7/1pPpNR2/6P1/2P4P/PP6/6K1 b - - 2 40,d8e7 f5h5,1012,25
r7/3R2pk/8/4N1pq/4P3/5PQ1/3R2K1/1r6 w - - 3 48,g3h3 b1g1 g2h2 g1h1 h2h1 h5h3,1449,6
8/p1r3pk/8/3R4/2pp4/3r1P2/P1R1K1PP/8 w - - 4 36,c2c4 d3e3 e2d2 c7c4,1384,2
1qkr3r/1p4Rp/4p3/Q2p4/1P2P3/P7/5nK1/8 b - - 3 29,h8g8 a5c5 b8c7 c5c7,1281,25
r2r3k/1pp3Nq/2n1Q3/p2n4/8/P3PP2/1P1BB3/1R2K3 b - - 0 30,h7g7 e1f2 g7h7 d2c3 d5c3 e6f6 h7g7 b1h1 h8g8 e2c4 d8d5 f6c3,2774,2
2r5/p4kpp/2nB4/1p6/1P2Q3/q3P3/1b3PPP/2R3K1 b - - 0 27,b2c1 e4f5 f7e8 f5c8,1614,17
r2qkb1r/pp2nppp/2n1b3/2ppp1P1/2P4P/1QN5/PP1PPPB1/R1B1K1NR b KQkq - 4 7,d8d7 c4d5 e7d5 g2d5,1932,2
4k1r1/1p2ppbp/pq4p1/2p1N3/4PP2/1P4nP/PBP3P1/3Q1RK1 b - - 2 20,g3f1 d1d7 e8f8 d7c8 b6d8 c8d8,1207,35
5r1k/p1p3pp/1p6/2p5/4P3/2P1B2q/PP3P1P/R4NRK w - - 0 22,a1d1 h3f3 g1g2 f3d1,1214,17
1r3r1k/R1R5/5qbp/6p1/2Q1B3/5p1P/1P3PP1/6K1 b - - 0 36,f3g2 c7h7 g6h7 a7h7,1725,37
4r3/p1k3p1/P1p5/1p2b3/8/1K1Q3P/5rP1/3RR2q b - - 3 46,h1g2 d3d7 c7b6 d7b7 b6a5 d1a1,1360,17
r2q1rk1/ppp2pp1/2n4p/2bNp3/4P1b1/3P1N2/PPP1QPPP/R1B2RK1 w - - 1 10,h2h3 c6d4 f3d4 g4e2,1705,2
4bk1R/pp3q2/4pr2/3p4/3P4/2P3QP/PP4P1/6K1 b - - 27 38,f8e7 g3c7 e8d7 c7c5,2061,25
1rb3k1/2p2ppp/5n2/3p4/1p6/1P1P1NP1/P3QPBP/q3R1K1 b - - 0 18,a1c3 e2e8 f6e8 e1e8,561,7
6r1/p1p1k2p/2p5/3p1b2/8/1PN1P3/P1PP2rP/2KR3R w - - 2 18,d1g1 g2g1 h1g1 g8g1,752,2
6k1/8/p2pP1p1/1p2b2p/4Bn1r/2P2R1P/PP5K/5R2 w - - 1 34,h2g3 h4h3 g3f2 h3h2 f2e1 h2e2 e1d1 e2e4,1775,2
rnb2rk1/pp3p1p/6pB/q7/2p5/4P3/P2NBPPP/Q3K2R b K - 1 15,f8d8 a1g7,771,37
6k1/5pP1/2r2B2/4PB2/8/p2K2P1/8/8 w - - 1 47,f5d7 c6f6 e5f6 a3a2,2025,1
3r4/1prP1ppk/6bp/P7/2q5/2N2P2/2PQR1PP/3R2K1 w - - 3 29,c3e4 c7d7 d2d7 d8d7,1769,2
rnb1rQ1k/pp5p/6pB/2p5/2PpP2q/3P2NP/PP4B1/R3NRK1 b - - 2 18,e8f8 f1f8,527,34
r7/5pk1/p3p3/4P1K1/5P2/R7/1r6/R7 w - - 9 44,a3a6 b2g2 g5h5 a8h8,1084,25
8/1pr3p1/5k2/pB4R1/Pb1Bp2P/1K3b2/1P6/8 b - - 7 35,f6f7 g5g7 f7e6 g7c7,1334,2
8/5p2/p6p/3k4/1P2p1PP/2K1P3/5P2/3bN3 w - - 1 42,e1c2 d1c2 c3c2 d5c4 f2f4 e4f3,1616,17
5bk1/5R2/6pp/2N5/1p6/1P3N1P/1r3PP1/6K1 w - - 1 36,f7c7 b2b1 g1h2 f8d6 g2g3 d6c7,1209,2
r4rk1/pp6/4p1pp/3b2p1/7n/3P4/PBN1QP1P/5RK1 w - - 4 25,c2e3 h4f3 g1h1 f3d4 e3d5 d4e2,1265,2
r1bq1rk1/ppp1bppp/2n2n2/8/3PN3/5N2/PPPBQPPP/2KR1B1R w - - 5 10,d2g5 f6e4 g5e7 d8e7,1165,17
2k5/pp6/r3p3/4PrPQ/2pP3P/2P1qp1R/PP3R2/2K5 w - - 3 39,c1d1 e3d3 d1c1 a6a2 h5e8 c8c7 e8e7 c7b6 e7e6 b6b5,2638,17
4r1k1/pp2qppp/2p5/2bN3P/3Q2n1/1P2P3/1P1K2P1/R3R3 b - - 0 23,c5d4 d5e7 e8e7 e3d4,1276,2
1k4r1/p1pp3p/Bpn1p3/4np2/4QB2/7P/PPP2PPq/R3RK2 w - - 0 21,e4e5 h2g2 f1e2 c6e5,1740,2
r4r1k/ppp2p2/3p1Q2/3P1q1p/3p1P2/5N2/PPP5/1K4RR b - - 0 22,f5f6 h1h5 f6h6 h5h6,951,25
rnbq3r/ppp2kpp/3b4/3p3Q/4n3/3B4/PPPP1PPP/RNB1K2R b KQ - 1 7,g7g6 h5d5 c8e6 d5e4,1761,27
3R4/5kpp/4p3/2P1P3/qP6/5rP1/1Q5P/2K5 w - - 1 29,d8d2 f3f1 d2d1 a4d1,862,25
7R/2rp4/2pr2B1/p3R2p/1p4pk/P7/1PP2PKP/8 b - - 0 34,d6g6 e5h5,594,25
4rbk1/1ppq1pp1/2npr2B/p2N4/2PP4/PP3PPP/3Q3K/4RR2 b - - 0 22,e6h6 d2h6 e8e1 f1e1,1759,2
r2q1r1k/pQ2p1bp/3p2p1/2pB4/2Pn1B2/2Nb2P1/PP3P1P/R3R1K1 b - - 0 16,d4c2 e1e7 d8e7 b7e7,1677,2
5R2/4k3/p3p2r/1pp3P1/5R2/8/PP1r4/6K1 b - - 1 39,h6g6 f4f7 e7d6 f8d8 d6c6 d8d2,1229,2
8/5k2/1pp5/p2p4/P2Pp2P/2P1P1K1/2P5/8 w - - 0 38,g3g4 b6b5 a4b5 c6b5,1618,17
3r4/8/p6p/1p6/5R1p/4RK2/3r2Pk/8 b - - 3 49,d2g2 f4h4 h2g1 e3e1,964,25
8/1p4k1/p1q2p2/2b5/7p/6rP/PP1BQ1P1/R3R2K w - - 1 34,d2c3 g3h3,1340,37
3rb1k1/R5p1/4n2p/1p3p2/1Pp5/Q2qPBP1/5P1P/3R2K1 b - - 2 24,d3a3 a7a3 d8d1 f3d1,1688,2
8/p1p2k1p/5Np1/5p2/q1b5/8/6QP/3R2K1 w - - 2 31,d1d7 f7f6 g2b2 f6e6,1601,2
4Qb2/6k1/3BBq1p/p1pP4/P7/4n2P/6PK/8 w - - 1 38,d6g3 e3f1 h2g1 f1g3,1153,17
3r4/5p1p/8/7R/5p2/5k2/PbP4P/3K2R1 w - - 2 28,d1e1 b2c3 e1f1 d8d1,963,25
1R6/1P6/5p2/5kp1/5P2/1r4P1/4K3/8 b - - 0 47,g5f4 g3g4 f5g4 b8g8,1584,6
2r5/p4pk1/1p2pqp1/3b4/6Q1/1Pr3N1/P4PPP/1R3RK1 b - - 6 26,c3c2 g3h5 g7f8 h5f6,1006,17
8/p7/1p3N2/4n1KP/1k1p4/1P6/1P6/8 w - - 0 49,h5h6 e5f7 g5f4 f7h6,1776,2
rn2kbnr/p6p/b1p1p1N1/3q1p1Q/PppPN3/4P3/1P3PPP/R1B1KB1R b KQkq - 0 11,h7g6 h5h8 f5e4 h8g8,2002,2
5rk1/R4p1p/p3pQp1/8/2PP2PK/7P/5P2/2q5 b - - 0 37,c1c4 h4g5 c4d3 h3h4 d3d2 f2f4 e6e5 d4e5,2034,17
1r3rk1/5ppp/1Q2b3/p7/2P1Pp2/P3bP2/R5PP/1N2KB1R w K - 1 18,b6a5 b8b1 e1e2 e6c4,923,30
5k2/5bp1/7p/p2r4/2KB4/1PP1R1P1/P6P/8 w - - 5 36,e3f3 d5f5 c4d3 f5f3,1178,17
5kr1/2R5/5K1p/8/6P1/8/8/8 b - - 4 61,g8g4 c7c8,1185,25
6B1/p2R2pk/6Np/5P2/6P1/7P/P1r2r2/6K1 b - - 1 29,h7g8 d7d8 g8f7 d8f8,1655,25
2r2rk1/ppqnbppp/3p4/3Pp1N1/8/2PQ1N2/PP3PPP/R4RK1 b - - 2 16,h7h6 d3h7,566,37
rn2r1k1/1p3pp1/p1q1p2p/4P1n1/1PP5/6P1/PBN1QP1P/3RR1K1 w - - 0 27,c2d4 g5h3 g1f1 c6h1,1058,34
3k4/p2n1ppp/B1pQ4/2q5/8/5P1P/PPP2P2/3Rr1K1 w - - 2 22,g1g2 c5g5 d6g3 g5g3 f2g3 e1d1,1406,17
3r2k1/5pp1/4b2p/2R1B3/2pP4/2n3P1/5P2/4R1K1 w - - 0 39,e1c1 c3e2 g1g2 e2c1,742,17
4r3/2R5/p1p3k1/P7/1bB2P2/6K1/8/8 b - - 1 42,c6c5 c4f7 g6f5 f7e8,1746,17
2kr1N2/pppb1r2/2n2q1p/8/4Q1p1/2N5/PPP2PPP/R1B1R1K1 w - - 0 16,f8d7 f6f2 g1h1 f2f1 e1f1 f7f1,1296,7
2Q5/1p3kp1/3p2p1/1Q1Pp3/2N1n3/P7/K1q5/8 w - - 0 33,b5b2 e4c3 a2a1 c2d1 b2c1 d1c1,1298,25
rn5r/pp3ppk/3Rqn1p/8/1P3Q2/4B3/P4PPP/2R3K1 b - - 3 23,e6e7 f4f5 g7g6 f5f6 e7f6 d6f6,1369,2
8/5Npk/1R6/5Pp1/rPK5/8/1r6/8 b - - 0 36,b2f2 f7g5 h7h8 b6b8,1400,25
r1bqk1r1/pp3pbp/2n3p1/2pp4/2B5/2NP2B1/PPP2PPP/R2QK2R w KQq - 0 12,c4d5 g7c3 b2c3 d8d5,1476,2
5k2/2rR1pp1/5b1p/1P5P/P1B5/1K2r3/8/3R4 w - - 0 36,b3b4 f6c3 b4b3 c3d4 b3a2 c7d7,2535,2
4q1k1/pp3pp1/2n2n1p/8/2Np4/1P1P1BPb/PBQ2P1P/6K1 w - - 0 22,c4d6 e8e1,535,37
r1bb1rk1/5ppp/3p2q1/2pP2P1/ppP1PP1P/6Q1/PP1N4/1K1R3R b - - 0 24,b4b3 h4h5 g6e4 d2e4,1658,17
r1b1kbnr/pp2pppp/1qnp4/1BpN4/4P3/5N2/PPPP1PPP/R1BQK2R b KQkq - 3 5,b6b5 d5c7 e8d8 c7b5,946,17
8/5p1k/q5p1/2pN4/2P1QP1p/4P2P/6PK/4b3 w - - 3 31,e4e7 e1g3 h2g1 a6a1,1127,25
8/pp6/2pb1ppk/3p3p/3N4/7K/Pr4P1/1B2R3 b - - 1 48,g6g5 d4f5 h6h7 f5d6,967,2
8/Qp3p1k/2b3pp/6q1/6N1/1P3P1P/P4RP1/3r2K1 w - - 5 27,g1h2 g5f4 g2g3 f4c1,2084,17
2r3k1/3R4/1p2p1p1/p3bpN1/8/6P1/P4P1P/6K1 b - - 2 29,c8c7 d7d8 g8g7 g5e6 g7h6 e6c7,1195,2
r1b1r1k1/1pB2ppp/p6q/2p5/5P2/8/PPP1Q1PP/2KR1B1R b - - 2 17,e8e2 d1d8 e2e8 d8e8,1274,7
8/p7/8/P1p5/2P3p1/5k1p/2B4K/8 w - - 2 47,c2f5 g4g3 h2h3 g3g2 f5e4 f3e4,1660,1
3r1bk1/ppp1p1p1/8/2qn2BQ/5P2/2N5/PPP3PP/3R3K w - - 5 22,g5h4 d5c3 h5c5 d8d1 c5g1 d1g1,2027,2
4r3/P7/6R1/8/8/5k2/6p1/5K2 w - - 0 67,f1g1 e8e1 g1h2 e1h1,1475,25
8/pR6/2p2k2/2P5/1P1N4/8/r3N1Kr/5n2 w - - 9 53,g2f1 a2a1 e2c1 a1c1,1229,25
4r3/1R3p2/4pk2/6p1/4P1P1/8/5K2/8 b - - 9 53,e8e7 e4e5 f6e5 b7e7,1346,17
4r3/1p3pk1/3r4/1pp5/8/8/PPP3P1/1K1R4 w - - 0 25,d1d6 e8e1 d6d1 e1d1,401,7
8/p7/1p4kp/1P1R2b1/P1pPr1P1/4P2P/3K4/8 b - - 0 45,e4e3 d5g5 h6g5 d2e3 g6f6 e3e4 f6e6 d4d5 e6d6 e4d4 c4c3 d4c3,1953,17
r1b3k1/p1p3pp/1p2pr2/1q1nQ3/7P/3P1N2/PPP2PP1/1K1R1B1R w - - 2 16,d3d4 d5c3 b1a1 b5e5 d4e5 c3d1,2167,2
r4r2/pp1b3p/5npk/q1p3N1/8/2N1Q3/PP3PPP/R3K2R b KQ - 7 19,a8e8 g5e6 g6g5 e3g5,1777,20
3r1r1k/ppp3pp/4Rn2/8/PqN5/1P5Q/5PPP/4R1K1 w - - 1 24,c4e5 b4e1,780,30
2krq2r/pp3p2/3ppNp1/2p5/PP1b2P1/3P3P/2Q4K/R1B2R2 b - - 2 21,d4f6 f1f6 h8h3 h2h3,1220,2
r2q1rk1/ppb2pp1/4pn1p/4N3/bP5B/P2B1Q2/2P2PPP/R4RK1 w - - 6 17,f1e1 c7e5 e1e5 d8d4,1900,17
8/8/5p1p/5R2/2K5/2P3k1/Pr6/8 b - - 1 46,b2f2 f5f2 g3f2 a2a4 f6f5 a4a5 f5f4 a5a6 f4f3 a6a7,1204,1
3k4/8/1p1N4/4rP2/P5P1/7b/1PP5/2K5 b - - 0 45,h3g4 d6f7 d8c7 f7e5,1378,2
r3kb1r/1bq2pp1/2n1p2p/P3P3/Q2BNP2/p2P1N2/6PP/R4RK1 w kq - 1 19,d4b6 c7b6 a5b6 a8a4,1415,2
7r/3q1pk1/6n1/p4R2/1p2P3/3P2Q1/1PP3P1/1R4K1 w - - 2 33,f5a5 d7d4 g1f1 h8h1 f1e2 h1b1,1357,2
8/1p6/p1kP4/P1p1Bn1p/4K1p1/1PP3P1/8/8 b - - 8 44,h5h4 e4f5 h4h3 f5e6 h3h2 d6d7 h2h1q d7d8q,1771,1
r2qr1k1/5pb1/1p1p1n2/p2P1QBp/7R/P1N4P/1PP3PN/6K1 w - - 1 23,h4h5 f6h5 g5d8 g7d4,2450,17
r2q1rk1/1p5p/1npBPb2/3n1Np1/pP1P4/P7/3Q2PP/4RRK1 b - - 4 31,d5e7 f5h6 g8g7 f1f6,2229,2
r1bq1rk1/6pp/p2p1bp1/1p2p3/4NP2/2P2Q2/PP4PP/RN2R1K1 b - - 1 20,e5f4 e4f6 g7f6 f3d5 g8g7 d5a8,2316,2
6k1/2p2R2/2bpN3/2p1p1p1/2Pb2PK/1P5P/6r1/5R2 w - - 0 35,h4h5 c6e8 h5g6 g2f2 f1f2 d4f2,2207,2
r3n2k/p5bp/1p1p2p1/2p3qP/2Q1Nr2/5P2/PPP3B1/2KR3R w - - 0 23,h5g6 f4e4 f3f4 g5f4 c1b1 e4c4,1431,17
1r2k2r/3b1pRp/3p4/1p1PpP2/4P3/pPqP1N1P/4Q3/1K4R1 w k - 1 25,e2c2 a3a2 c2a2 c3d3 a2c2 d3f3 g7g3 f3f4,1847,1
6Q1/2pk1p1r/5p2/3Pbq2/8/5NP1/PPP1PPK1/R4R2 w - - 1 24,c2c4 f5h3 g2g1 h3h1,989,37
k2r3r/pp4p1/8/Q3PP2/3p1B1q/8/PP4R1/R5K1 w - - 1 33,a5d2 h4h1 g1f2 h1a1,933,2
4r3/2p5/1k6/3pB3/3P4/6P1/1r4pP/R5K1 b - - 6 32,c7c5 d4c5 b6b5 e5b2,1189,17
n7/p4k2/Pp1R1bpp/8/1Q3P2/2K5/5q2/R7 w - - 12 46,c3b3 f2b2 b3a4 b2a1 a4b5 a8c7,1947,2
1r2n1k1/4P1p1/p2N3p/1pp5/8/1P4P1/P1P1R1P1/6K1 w - - 1 33,e2e6 b8b6 e6h6 b6d6,1717,2
2r2bk1/3R3p/1p1p2p1/3np3/P3R3/1P6/1B3PKP/8 w - - 3 30,e4e2 d5f4 g2f1 f4e2,881,2
3qr2k/p2n1Q1p/3BP1p1/7n/p1BP4/7R/5KPP/3r4 b - - 0 31,d7f6 h3h5 f6g4 f2e2 g6h5 e6e7 d1d2 e2d2,2750,1
4rrk1/pp3pp1/2p3bp/4n3/5N1P/1B2R1Q1/PqP2PP1/6KR b - - 6 21,g6c2 e3e2 e5f3 g3f3,2398,2
7k/5p1p/2p1p1p1/p1K1P3/P1N4P/8/6n1/8 b - - 2 46,g2h4 c4a5 h4f3 a5c6,1775,2
r1b4r/pp1n2k1/4p1p1/2qN1p2/2p5/2Q5/PP3PPP/R2R2K1 b - - 1 24,g7g8 d5f6 d7f6 c3f6 g8h7 d1d4 c5d4 f6d4,2162,2
8/8/4pk1p/1p2p1pP/1Pn1K3/3B2P1/5P2/8 b - - 0 48,g5g4 d3c4 b5c4 e4e3 f6e7 f2f3 g4f3 e3f3,2731,17
8/7k/4p3/p7/P6p/8/1PP1K3/8 b - - 0 45,e6e5 e2f3 h7g6 f3g4 e5e4 g4h4,2249,17
r1b1Q3/ppp3kp/3p2p1/4b3/2B1P3/2N3P1/PPPq2KP/5R2 w - - 11 25,f1f2 c8h3 g2h3 d2h6 h3g2 a8e8,1904,6
1r1r4/1pq1kRp1/p1pNb2p/4P2Q/8/8/PPP2PPP/3R2K1 b - - 0 23,e6f7 h5f7,1006,37
2kr4/Qpp2B2/3q1n2/6B1/6b1/2P3P1/PP5r/R4RK1 w - - 0 21,g5f6 d6g3,860,37
2r3k1/5p2/p3p1pP/PprpN2n/3R3P/2N1RP2/2P3K1/8 w - - 2 27,g2h3 c5c3 e3c3 c8c3,1176,2
2r3k1/5p1p/1qP1p1p1/3pP3/Pr3P2/R1Q4P/6P1/2R3K1 w - - 3 27,c3c5 c8c6 c5b6 c6c1,1854,17
8/pR6/5ppk/8/2P4p/1P3P1P/P5P1/4rnBK w - - 0 43,g1f2 f1g3 h1h2 e1h1,813,21
2N5/8/1P2p2p/3b1k2/5p2/8/5K1P/8 b - - 1 48,d5c6 c8e7 f5e5 e7c6,847,17
r6k/pp1r2pp/2p2p2/4R3/3Pp2q/Q3P3/PP3PPP/2R3K1 w - - 0 25,a3a7 d7d8 a7a8 d8a8,2164,2
5rnk/pppq2rp/4P1nN/3p1p1Q/8/2P1R3/PP3PPP/R5K1 b - - 0 23,g6f4 e6d7 f4h5 e3e8 g7d7 e8f8,2000,1
4rbk1/p4ppp/1p2q3/2p5/4P1N1/1P3PPQ/2r4P/B3R1K1 b - - 7 30,e6b3 g4f6 g7f6 h3g4 f8g7 a1f6,1948,14
r5r1/3kn2Q/p2qp3/1p1p1p2/8/1B2P3/PP3PPP/2R2RK1 w - - 1 22,c1c2 g8h8 h7h8 a8h8,1500,2
